"index","season"
1365,"Winter"
1366,"Winter"
1367,"Winter"
1368,"Winter"
1369,"Winter"
1370,"Winter"
1371,"Winter"
1372,"Winter"
1373,"Winter"
1374,"Winter"
1375,"Winter"
1376,"Winter"
1377,"Winter"
1378,"Winter"
1379,"Winter"
1380,"Winter"
1381,"Winter"
1382,"Winter"
1383,"Winter"
1384,"Winter"
1385,"Winter"
1386,"Winter"
1387,"Winter"
1388,"Winter"
1389,"Winter"
1390,"Winter"
1391,"Winter"
1392,"Winter"
1393,"Winter"
1394,"Winter"
1395,"Winter"
1396,"Winter"
1397,"Winter"
1398,"Winter"
1399,"Winter"
1400,"Winter"
1401,"Winter"
1402,"Spring"
1403,"Spring"
1404,"Spring"
1405,"Spring"
1406,"Spring"
1407,"Spring"
1408,"Spring"
1409,"Spring"
1410,"Spring"
1411,"Spring"
1412,"Spring"
1413,"Spring"
1414,"Spring"
1415,"Spring"
1416,"Spring"
1417,"Spring"
1418,"Spring"
1419,"Spring"
1420,"Spring"
1421,"Spring"
1422,"Spring"
1423,"Spring"
1424,"Spring"
1425,"Spring"
1426,"Spring"
1427,"Spring"
1428,"Spring"
1429,"Spring"
1430,"Spring"
1431,"Spring"
1432,"Spring"
1433,"Spring"
1434,"Spring"
1435,"Spring"
1436,"Spring"
1437,"Spring"
1438,"Spring"
1439,"Spring"
1440,"Spring"
1441,"Spring"
1442,"Spring"
1443,"Spring"
1444,"Spring"
1445,"Spring"
1446,"Spring"
1447,"Spring"
1448,"Spring"
1449,"Spring"
1450,"Spring"
1451,"Spring"
1452,"Spring"
1453,"Spring"
1454,"Spring"
1455,"Spring"
1456,"Spring"
1457,"Spring"
1458,"Spring"
1459,"Spring"
1460,"Spring"
1461,"Spring"
1462,"Spring"
1463,"Spring"
1464,"Spring"
1465,"Spring"
1466,"Spring"
1467,"Spring"
1468,"Spring"
1469,"Spring"
1470,"Spring"
1471,"Spring"
1472,"Spring"
1473,"Spring"
1474,"Spring"
1475,"Spring"
1476,"Spring"
1477,"Spring"
1478,"Spring"
1479,"Spring"
1480,"Spring"
1481,"Spring"
1482,"Spring"
1483,"Spring"
1484,"Spring"
1485,"Spring"
1486,"Spring"
1487,"Spring"
1488,"Spring"
1489,"Spring"
1490,"Spring"
1491,"Spring"
1492,"Spring"
1493,"Spring"
1494,"Spring"
1495,"Spring"
1496,"Spring"
1497,"Spring"
1498,"Spring"
1499,"Spring"
1500,"Spring"
1501,"Spring"
1502,"Spring"
1503,"Spring"
1504,"Spring"
1505,"Spring"
1506,"Spring"
1507,"Spring"
1508,"Spring"
1509,"Spring"
1510,"Spring"
1511,"Spring"
1512,"Summer"
1513,"Summer"
1514,"Summer"
1515,"Summer"
1516,"Summer"
1517,"Summer"
1518,"Summer"
1519,"Summer"
1520,"Summer"
1521,"Summer"
1522,"Summer"
1523,"Summer"
1524,"Summer"
1525,"Summer"
1526,"Summer"
1527,"Summer"
1528,"Summer"
1529,"Summer"
1530,"Summer"
1531,"Summer"
1532,"Summer"
1533,"Summer"
1534,"Summer"
1535,"Summer"
1536,"Summer"
1537,"Summer"
1538,"Summer"
1539,"Summer"
1540,"Summer"
1541,"Summer"
1542,"Summer"
1543,"Summer"
1544,"Summer"
1545,"Summer"
1546,"Summer"
1547,"Summer"
1548,"Summer"
1549,"Summer"
1550,"Summer"
1551,"Summer"
1552,"Summer"
1553,"Summer"
1554,"Summer"
1555,"Summer"
1556,"Summer"
1557,"Summer"
1558,"Summer"
1559,"Summer"
1560,"Summer"
1561,"Summer"
1562,"Summer"
1563,"Summer"
1564,"Summer"
1565,"Summer"
1566,"Summer"
1567,"Summer"
1568,"Summer"
1569,"Summer"
1570,"Summer"
1571,"Summer"
1572,"Summer"
1573,"Summer"
1574,"Summer"
1575,"Summer"
1576,"Summer"
1577,"Summer"
1578,"Summer"
1579,"Summer"
1580,"Summer"
1581,"Summer"
1582,"Summer"
1583,"Summer"
1584,"Summer"
1585,"Summer"
1586,"Summer"
1587,"Summer"
1588,"Summer"
1589,"Summer"
1590,"Summer"
1591,"Summer"
1592,"Summer"
1593,"Summer"
1594,"Summer"
1595,"Summer"
1596,"Summer"
1597,"Summer"
1598,"Summer"
1599,"Summer"
1600,"Summer"
1601,"Summer"
1602,"Summer"
1603,"Summer"
1604,"Summer"
1605,"Summer"
1606,"Summer"
1607,"Summer"
1608,"Summer"
1609,"Summer"
1610,"Summer"
1611,"Summer"
1612,"Summer"
1613,"Summer"
1614,"Summer"
1615,"Autumn"
1616,"Autumn"
1617,"Autumn"
1618,"Autumn"
1619,"Autumn"
1620,"Autumn"
1621,"Autumn"
1622,"Autumn"
1623,"Autumn"
1624,"Autumn"
1625,"Autumn"
1626,"Autumn"
1627,"Autumn"
1628,"Autumn"
